"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-01",,,"0.30",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-02",,,"0.76",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-03",,,"2.22",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-04",,,"0.01",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-05",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-06",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-07",,,"0.52","0.1","0",,,,,,"0.5","0.4",,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-08",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-09",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-10",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-11",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-12",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-13",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-14",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-15",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-16",,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-17",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-18",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-19",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-20",,,"0.41",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-21",,,"0.00",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-22",,,"2.91",,,,,,,,,,,,,,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","2017-01-23",,,"0.97",,,,,,,,,,,,,,,,,
